ClassCodeUcCode Weekday StartHourDurationType
3LEIC05   L.EIC023Thursday     8.5     2PL
3LEIC06   L.EIC023Friday      10.5     2PL
3LEIC07   L.EIC023Friday      10.5   2PL
3LEIC08   L.EIC023Thursday    10.5   2PL
3LEIC09   L.EIC023Wednesday    8.5   2PL
3LEIC10   L.EIC023Friday       8.5   2PL

3LEIC11   L.EIC023Tuesday     10.5   2PL
3LEIC12   L.EIC023Thursday    10.5   2PL
3LEIC13   L.EIC023Tuesday     10.5   2PL
3LEIC14   L.EIC023Thursday    10.5   2PL
3LEIC08   L.EIC023Monday      10.5   2T
3LEIC09   L.EIC023Monday      10.5   2T
3LEIC10   L.EIC023Monday      10.5   2T
3LEIC11   L.EIC023Monday      10.5   2T
3LEIC12   L.EIC023Monday      10.5   2T
3LEIC13   L.EIC023Monday      10.5   2T
3LEIC14   L.EIC023Monday      10.5   2T
3LEIC01   L.EIC023Monday       8.5   2T
3LEIC02   L.EIC023Monday       8.5   2T
3LEIC03   L.EIC023Monday       8.5   2T
3LEIC04   L.EIC023Monday       8.5   2T
3LEIC05   L.EIC023Monday       8.5   2T
3LEIC06   L.EIC023Monday       8.5   2T
3LEIC07   L.EIC023Monday       8.5   2T
3LEIC01   L.EIC024Monday      10.5   2TP
3LEIC02   L.EIC024Thursday     8.5   2TP
3LEIC03   L.EIC024Friday      10.5   2TP
3LEIC04   L.EIC024Wednesday   10.5   2TP
3LEIC05   L.EIC024Tuesday      8.5   2TP
3LEIC06   L.EIC024Thursday     8.5   2TP
3LEIC08   L.EIC024Wednesday    8.5   2TP
3LEIC09   L.EIC024Thursday    10.5   2TP
3LEIC10   L.EIC024Tuesday     10.5   2TP
3LEIC11   L.EIC024Friday       8.5   2TP
3LEIC12   L.EIC024Monday       14    2TP
3LEIC08   L.EIC024Tuesday      8.5   2T
3LEIC09   L.EIC024Tuesday      8.5   2T
3LEIC10   L.EIC024Tuesday      8.5   2T
3LEIC11   L.EIC024Tuesday      8.5   2T
3LEIC12   L.EIC024Tuesday      8.5   2T
3LEIC01   L.EIC024Tuesday     10.5   2T
3LEIC02   L.EIC024Tuesday     10.5   2T
3LEIC03   L.EIC024Tuesday     10.5   2T
3LEIC04   L.EIC024Tuesday     10.5   2T
3LEIC05   L.EIC024Tuesday     10.5   2T
3LEIC06   L.EIC024Tuesday     10.5   2T
3LEIC01   L.EIC025Tuesday      8.5   2TP
3LEIC02   L.EIC025Friday      10.5   2TP
3LEIC03   L.EIC025Wednesday   13.5   2TP
3LEIC04   L.EIC025Monday      15.5   2TP
3LEIC05   L.EIC025Monday      10.5   2TP
3LEIC06   L.EIC025Wednesday   10.5   2TP
3LEIC07   L.EIC025Thursday     8.5   2TP
3LEIC08   L.EIC025Tuesday     13.5   2TP
3LEIC09   L.EIC025Friday       8.5   2TP
3LEIC10   L.EIC025Thursday    10.5   2TP
3LEIC11   L.EIC025Wednesday    8.5   2TP
3LEIC12   L.EIC025Tuesday     10.5   2TP
3LEIC13   L.EIC025Thursday    13.5   2TP
3LEIC14   L.EIC025Monday       8.5   2TP
3LEIC15   L.EIC025Monday      13.5   2TP
3LEIC08   L.EIC025Thursday     8.5   2T
3LEIC09   L.EIC025Thursday     8.5   2T
3LEIC10   L.EIC025Thursday     8.5   2T
3LEIC11   L.EIC025Thursday     8.5   2T
3LEIC12   L.EIC025Thursday     8.5   2T
3LEIC13   L.EIC025Thursday     8.5   2T
3LEIC14   L.EIC025Thursday     8.5   2T
3LEIC15   L.EIC025Thursday     8.5   2T
3LEIC01   L.EIC025Thursday    10.5   2T
3LEIC02   L.EIC025Thursday    10.5   2T
3LEIC03   L.EIC025Thursday   10.5     2T
3LEIC04   L.EIC025Thursday   10.5     2T
3LEIC05   L.EIC025Thursday   10.5     2T
3LEIC06   L.EIC025Thursday   10.5     2T
3LEIC07   L.EIC025Thursday   10.5     2T
1LEIC01   UP001 Wednesday     14    1.5TP
1LEIC02   UP001 Wednesday     14    1.5TP
1LEIC03   UP001 Wednesday    15.5   1.5TP
1LEIC04   UP001 Wednesday    15.5   1.5TP
1LEIC05   UP001 Wednesday    15.5   1.5TP
1LEIC06   UP001 Wednesday    15.5   1.5TP
1LEIC07   UP001 Wednesday     14    1.5TP
1LEIC08   UP001 Wednesday     14    1.5TP
1LEIC09   UP001 Wednesday    13.5   1.5TP
1LEIC10   UP001 Wednesday    13.5   1.5TP
1LEIC11   UP001 Wednesday     15    1.5TP
1LEIC12   UP001 Wednesday     15    1.5TP

